dataset,transform,model,repeat,Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",6-14460,0.6561232765612328,0.5922619047619048,0.5576923076923077,0.09074519230769228,0.8600556070435589,0.6484375,0.732620320855615,0.7909319899244333,0.1994685752902869,0.7478056548081404,0.5914634146341463
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",6-14460,0.6455798864557989,0.5252976190476191,0.4831730769230769,0.11057692307692307,0.8137651821862348,0.59375,0.7896613190730838,0.8463476070528967,0.1939085826626528,0.7708877758420442,0.6524390243902439
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",6-14460,0.6188158961881589,0.44642857142857145,0.4110576923076923,0.09284855769230772,0.8157423971377459,0.50390625,0.8253119429590018,0.8765743073047859,0.175354795109664,0.7999544435099523,0.7012195121951219
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",6-14460,0.6520681265206812,0.5729166666666666,0.5360576923076923,0.09675480769230772,0.8471035137701804,0.6328125,0.7468805704099821,0.8035264483627204,0.1937703508017448,0.7588500649896781,0.6097560975609756
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",7-16870,0.6804541768045418,0.7916666666666666,0.7620192307692307,0.07782451923076927,0.9073345259391772,0.83984375,0.5472370766488414,0.5869017632241813,0.13568225102905934,0.7688160787187271,0.451219512195122
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",7-16870,0.6439578264395782,0.5461309523809523,0.4927884615384616,0.14002403846153846,0.7787274453941121,0.6328125,0.7611408199643493,0.8035264483627204,0.14498986299686667,0.8195580701888524,0.6585365853658537
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",7-16870,0.6472019464720195,0.5610119047619048,0.5096153846153846,0.13491586538461542,0.7906759906759906,0.64453125,0.7504456327985741,0.7934508816120907,0.1471094181974565,0.8145954316686025,0.6463414634146342
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",7-16870,0.6301703163017032,0.5163690476190477,0.4615384615384616,0.14393028846153846,0.7622828784119107,0.60546875,0.7664884135472371,0.8060453400503779,0.13531363273330466,0.8321265243902439,0.6707317073170732
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",7-16870,0.6188158961881589,0.4836309523809524,0.4206730769230769,0.16526442307692307,0.7179487179487181,0.5859375,0.7807486631016043,0.8186397984886651,0.1296154082447626,0.8416697936210131,0.6890243902439024
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",7-16870,0.6090835360908353,0.4523809523809524,0.39663461538461536,0.14633413461538464,0.7304925290536801,0.54296875,0.7967914438502673,0.8312342569269522,0.11781962278061076,0.8582594235033258,0.7134146341463414
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",8-19280,0.6707218167072182,0.7336309523809523,0.6850961538461539,0.12740384615384615,0.8431952662721893,0.8125,0.5953654188948306,0.6498740554156172,0.18645942126927567,0.7130837587445642,0.4634146341463415
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",8-19280,0.6634225466342255,0.5877976190476191,0.5432692307692307,0.11688701923076927,0.8229403732362311,0.66015625,0.7540106951871658,0.8035264483627204,0.16938010689930572,0.7892040675892653,0.6341463414634146
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",8-19280,0.6577453365774534,0.5922619047619048,0.5504807692307693,0.10967548076923073,0.8338643604915795,0.66015625,0.7361853832442068,0.7858942065491183,0.170040548012533,0.7836343026891808,0.6158536585365854
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",8-19280,0.6293592862935928,0.4717261904761905,0.4326923076923077,0.10246394230769228,0.8085345311622684,0.53515625,0.8181818181818182,0.8614609571788413,0.14804632303249987,0.8281450577663672,0.7134146341463414
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",8-19280,0.6301703163017032,0.4747023809523809,0.43509615384615385,0.10396634615384616,0.8071348940914158,0.5390625,0.8163992869875223,0.8614609571788413,0.15414388400810966,0.8210668948794749,0.7073170731707317
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",8-19280,0.6415247364152473,0.5133928571428571,0.4711538461538462,0.11087740384615384,0.8094992256066081,0.58203125,0.7950089126559715,0.8413098236775819,0.15838299440928916,0.8117423689206952,0.6829268292682927
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",9-21690,0.6577453365774534,0.7425595238095238,0.71875,0.0625,0.92,0.78125,0.5561497326203209,0.6146095717884131,0.19997542544694974,0.6746301479408235,0.4146341463414634
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",9-21690,0.6536901865369019,0.5699404761904762,0.5336538461538461,0.09525240384615385,0.8485427615862399,0.62890625,0.7540106951871658,0.8136020151133502,0.20384591755237458,0.7494525409650381,0.6097560975609756
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",9-21690,0.6585563665855637,0.6116071428571429,0.5841346153846154,0.07211538461538458,0.8901098901098902,0.65625,0.714795008912656,0.7758186397984886,0.20874546906678138,0.7309352233132721,0.5670731707317073
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",9-21690,0.6407137064071371,0.5208333333333334,0.4807692307692308,0.10516826923076922,0.8205128205128205,0.5859375,0.7843137254901961,0.8488664987405542,0.22081771825274932,0.7398675544618948,0.6280487804878049
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",9-21690,0.6399026763990268,0.5208333333333334,0.4831730769230769,0.09885817307692307,0.8301497160557564,0.58203125,0.7825311942959001,0.8463476070528967,0.2182988265650918,0.7420695412311267,0.6280487804878049
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",9-21690,0.6423357664233577,0.5327380952380952,0.49759615384615385,0.09224759615384615,0.8436067244014264,0.58984375,0.7736185383244206,0.836272040302267,0.21432082079007186,0.7437187775492213,0.6219512195121951
