dataset,transform,model,repeat,Accuracy,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",4-9640,0.666936790923825,0.7455357142857143,0.8026315789473685,0.07378542510121466,0.9080706179066834,0.7288461538461538,0.5729537366548043,0.3855421686746988,0.2198858062731092,0.6368093061902783,0.605427974947808
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",4-9640,0.646677471636953,0.5669642857142857,0.631578947368421,0.08350202429149789,0.8677884615384617,0.5480769230769231,0.7419928825622776,0.6506024096385542,0.10722640038232267,0.8585084138205714,0.7578288100208769
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",4-9640,0.6491085899513777,0.5758928571428571,0.6381578947368421,0.08046558704453444,0.8739095955590801,0.5576923076923077,0.7366548042704626,0.6506024096385542,0.10096335236562116,0.8656626506024097,0.7515657620041754
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",4-9640,0.640194489465154,0.5357142857142857,0.6052631578947368,0.0898785425101215,0.851505016722408,0.5153846153846153,0.7651245551601423,0.6746987951807228,0.10609452423472596,0.8641195799239739,0.7807933194154488
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",4-9640,0.6247974068071313,0.4732142857142857,0.5131578947368421,0.05161943319838058,0.8994082840236686,0.4615384615384616,0.806049822064057,0.7469879518072289,0.06929597303619495,0.9151080023418482,0.8162839248434238
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",4-9640,0.6426256077795786,0.5401785714285714,0.618421052631579,0.10111336032388664,0.8364975450081833,0.5173076923076924,0.7651245551601423,0.6867469879518072,0.0919586487914078,0.881908330372428,0.778705636743215
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",5-12050,0.673419773095624,0.7514880952380952,0.7894736842105263,0.049089068825910916,0.9378205128205128,0.7403846153846154,0.5800711743772242,0.4939759036144578,0.10101365797218104,0.8302261678292115,0.5949895615866388
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",5-12050,0.6418152350081038,0.5491071428571429,0.5526315789473685,0.004554655870445346,0.9917582417582418,0.5480769230769231,0.7526690391459074,0.6987951807228916,0.06320899464245289,0.9170490179897672,0.7620041753653445
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",5-12050,0.6572123176661264,0.6101190476190477,0.6644736842105263,0.0702429149797571,0.8942878903274942,0.5942307692307692,0.7135231316725978,0.6506024096385542,0.07382347762658148,0.898093816186938,0.7244258872651357
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",5-12050,0.6175040518638574,0.44642857142857145,0.4473684210526316,0.0012145748987854033,0.9972850678733032,0.4461538461538462,0.8220640569395018,0.7710843373493976,0.059813366199662925,0.9280135617848276,0.8308977035490606
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",5-12050,0.6118314424635333,0.42857142857142855,0.4276315789473684,0.0012145748987854033,0.997167807410904,0.4288461538461538,0.8309608540925267,0.7710843373493976,0.07025177956083206,0.9164997458817902,0.8413361169102297
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",5-12050,0.63290113452188,0.5044642857142857,0.506578947368421,0.002732793522267185,0.9946053946053948,0.5038461538461538,0.7864768683274022,0.7349397590361446,0.06046733908494095,0.9239793820953104,0.7954070981210856
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",6-14460,0.692868719611021,0.7976190476190477,0.8289473684210527,0.04048582995951422,0.9511599511599512,0.7884615384615384,0.5676156583629893,0.5301204819277109,0.0439922529365897,0.9233734939759036,0.5741127348643006
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",6-14460,0.6677471636952999,0.5714285714285714,0.6644736842105263,0.12024291497975716,0.8190403655750189,0.5442307692307692,0.7829181494661922,0.8433734939759037,0.07093090524939005,0.9158962123471518,0.7724425887265136
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",6-14460,0.692868719611021,0.6369047619047619,0.7039473684210527,0.08663967611336032,0.8769230769230769,0.6173076923076923,0.7597864768683275,0.8192771084337349,0.06979902910179336,0.9148041262433992,0.7494780793319415
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",6-14460,0.6588330632090762,0.5297619047619048,0.6118421052631579,0.1060728744939271,0.8266335814722912,0.5057692307692307,0.8131672597864769,0.8795180722891566,0.07784792615136947,0.9114879743758402,0.8016701461377871
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",6-14460,0.6588330632090762,0.5148809523809523,0.5921052631578947,0.09979757085020237,0.8314529914529916,0.4923076923076923,0.8309608540925267,0.891566265060241,0.07110697487234953,0.9202448795350674,0.8204592901878914
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",6-14460,0.6572123176661264,0.5252976190476191,0.6118421052631579,0.11184210526315784,0.8172043010752689,0.5,0.8149466192170819,0.8795180722891566,0.07576024347913568,0.9138616409757772,0.8037578288100209
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",7-16870,0.6742301458670988,0.7470238095238095,0.8684210526315791,0.15688259109311742,0.8193473193473193,0.7115384615384616,0.5871886120996441,0.5060240963855421,0.09522851321779813,0.8416164658634538,0.6012526096033403
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",7-16870,0.6677471636952999,0.5714285714285714,0.6644736842105263,0.12024291497975716,0.8190403655750189,0.5442307692307692,0.7829181494661922,0.7469879518072289,0.04215609829715528,0.9465799706763559,0.7891440501043842
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",7-16870,0.6685575364667747,0.5922619047619048,0.6907894736842105,0.12732793522267205,0.8156776556776557,0.5634615384615385,0.7597864768683275,0.7469879518072289,0.015016223558115603,0.9802937778511304,0.7620041753653445
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",7-16870,0.6612641815235009,0.5565476190476191,0.6447368421052632,0.1139676113360324,0.8232339089481947,0.5307692307692308,0.7864768683274022,0.7469879518072289,0.04633146364162288,0.9415979708306912,0.7933194154488518
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",7-16870,0.6280388978930308,0.4479166666666667,0.5526315789473685,0.13532388663967615,0.7551282051282051,0.4173076923076923,0.8434163701067615,0.7951807228915663,0.05659380737983244,0.9335577604535792,0.8517745302713987
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",7-16870,0.6580226904376013,0.5476190476190477,0.6381578947368421,0.11700404858299596,0.8166534496431404,0.5211538461538462,0.7900355871886121,0.7590361445783133,0.03637095354277231,0.9542737880656484,0.7954070981210856
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",8-19280,0.6977309562398704,0.7946428571428571,0.8684210526315791,0.09534412955465588,0.8902097902097902,0.7730769230769231,0.5818505338078291,0.4578313253012048,0.14550896697436927,0.7588276983365991,0.6033402922755741
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",8-19280,0.6790923824959482,0.6160714285714286,0.6907894736842105,0.09655870445344128,0.8602197802197803,0.5942307692307692,0.7544483985765125,0.6867469879518072,0.07943255275800487,0.8963264502150291,0.7661795407098121
