dataset,transform,model,split_id,Accuracy,Accuracy_race_White_0,Accuracy_race_White_0-race_White_1,Accuracy_race_White_0/race_White_1,Accuracy_race_White_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR-ratio,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed,PR_t,t_s0,t_s1
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",2,0.7740339432804467,0.8205736894164194,0.054098735202493975,0.9340720572688992,0.7664749542139254,0.8023059529046181,0.8656430646114156,0.6531460817175103,0.7462423284701041,0.8164080865068171,0.08316768053042645,0.898129768794577,0.7332404059763906,0.8583695773391323,0.9799858550494592,0.8426966292134831,0.017210301964572294,0.9799858550494592,0.8599069311780554,0.4036154569075128,0.2880316518298714,0.1343569353885844,0.6819115396243031,0.4223885872184558,4820.0,0.5,0.3415430267062316,0.2376216945667193
Adult Race-Binary,no_transform,"Logistic Regression, C=1.0",3,0.8484990878434407,0.9002967359050446,0.06021062595420434,0.9331213548234448,0.8400861099508402,0.7659344476474499,0.9096383377615372,0.6633499170812605,0.9296607989416044,0.9609779031499764,0.03712025624489301,0.9613724143674721,0.9238576469050834,0.6022080963532954,0.9560810785181678,0.5780274656679151,0.02655250004357157,0.9560810785181678,0.6045799657114866,0.20216706285587926,0.12443125618199805,0.09036166223846273,0.5793080009203178,0.21479291842046075,7230.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam",3,0.8436066117529991,0.8933728981206726,0.05784933034121687,0.935246154810706,0.8355235677794557,0.7673552223468625,0.9113255331983722,0.6613598276274839,0.9185623461100292,0.9489891866478608,0.03606502408306578,0.9619963803692441,0.912924162564795,0.6161480985836958,0.9677543379930852,0.5980024968789014,0.0199254972430678,0.9677543379930852,0.6179279941219692,0.21396981591022168,0.13768545994065282,0.0886744668016278,0.6082589878967974,0.2263599267422806,7230.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",3,0.7521421858588092,0.8415430267062315,0.10392133213951238,0.8765109699188446,0.7376216945667191,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,7230.0,0.1,-0.2922848664688426,-0.8118915271664041
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",3,0.8461495936757145,0.8937685459940653,0.05535322613415461,0.9380676055537512,0.8384153198599107,0.763437952110015,0.9239207200376872,0.6588624662907575,0.9274558083128148,0.9492242595204512,0.02580220960103674,0.9728175830503194,0.9234220499194146,0.5994200959072153,0.9996901217706672,0.599250936329588,0.00018575237969431504,0.9996901217706672,0.5994366887092824,0.20313450163082536,0.13768545994065282,0.07607927996231284,0.6440980865373421,0.21376473990296568,7230.0,0.2,0.02596439169139462,-0.15594576358320208
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",3,0.818342639172978,0.8607319485657765,0.04927418421144048,0.9427531599198272,0.8114577643543359,0.7883568666964313,0.8990839162045949,0.6654449195683161,0.8478188967696887,0.8876351669017395,0.04719434275224266,0.9468313733929978,0.8404408241494968,0.7288948366231739,0.9833895350992437,0.7178526841448191,0.012125273239457337,0.9833895350992437,0.7299779573842763,0.2951241085742717,0.2083086053412463,0.10091608379540506,0.6736480386570666,0.3092246891366513,7230.0,0.3,0.1011021619330224,0.02687263897622796
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",3,0.7898722980817071,0.8385756676557864,0.056613774522091036,0.9324881740483204,0.7819618931336954,0.7990770711355624,0.8752784054258028,0.6584905660377358,0.7808239314982911,0.8436765397273155,0.07449938243324394,0.9116967475979326,0.7691771572940715,0.8173302107728337,0.992153280476063,0.8114856429463171,0.006417859380403511,0.992153280476063,0.8179035023267206,0.3674332467245287,0.26013847675568746,0.12472159457419718,0.6759300227139139,0.3848600713298847,7230.0,0.4,0.2012858555885263,0.11468474547226608
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",3,0.7631433467853391,0.8154302670623146,0.060779365799582874,0.9254634415048784,0.7546509012627317,0.8054966729506154,0.855750660099062,0.6505444313037805,0.7215096835838448,0.8027738598965679,0.0963226685388121,0.8800126992784459,0.7064511913577558,0.889483662317386,0.9915659490844864,0.8826466916354557,0.0075076066746103684,0.9915659490844864,0.8901542983100661,0.4299297915860468,0.305835806132542,0.14424933990093802,0.6795065529885141,0.4500851460334799,7230.0,0.5,0.3415430267062316,0.2376216945667193
Adult Race-Binary,no_transform,"Logistic Regression, C=1.0",4,0.8464536458621261,0.8941641938674579,0.055459698799501744,0.9379759341965748,0.8387044950679562,0.7581818535467946,0.9207788325146072,0.6530943608318242,0.9332255337914814,0.956041372825576,0.027043681489599902,0.9717128544242052,0.928997691335976,0.5831381733021077,0.9669649746861648,0.5655430711610487,0.01932099937532161,0.9669649746861648,0.5848640705363704,0.1947592459505777,0.12660731948565776,0.0792211674853926,0.6151107718314278,0.2058284869710504,9640.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam",4,0.84479517939079,0.8921859545004945,0.055087988366124496,0.9382550374299868,0.8370979661343699,0.7623880405885324,0.9111056405437434,0.6567218927676225,0.9258020653412224,0.954160789844852,0.033613680030851745,0.9647714720740964,0.920547109814,0.5989740158358425,0.9345193508114856,0.5630461922596754,0.03945197085568086,0.9345193508114856,0.6024981631153563,0.20426778705290508,0.1277942631058358,0.08889435945625654,0.5897599126101613,0.21668862256209234,9640.0,,,
