dataset,transform,model,repeat,Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1
Compas Race,no_transform,"Logistic Regression, C=1.0",6-14460,0.67558799675588,0.7663690476190477,0.7475961538461539,0.049278846153846145,0.9381598793363499,0.796875,0.5668449197860963,0.6196473551637279,0.1806229649198255,0.7085068411659726,0.43902439024390244,,,,,,,,
Compas Race,no_transform,LRCV,6-14460,0.6658556366585564,0.7574404761904762,0.7379807692307693,0.051081730769230727,0.9352627570449353,0.7890625,0.5561497326203209,0.6045340050377834,0.165509614793881,0.7262195121951219,0.43902439024390244,,,,,,,,
Compas Race,no_transform,SVM,6-14460,0.67558799675588,0.7827380952380952,0.7596153846153846,0.06069711538461542,0.9260073260073259,0.8203125,0.5472370766488414,0.5994962216624685,0.17876451434539536,0.7018087722894035,0.42073170731707316,,,,,,,,
Compas Race,no_transform,Agarwal LR,6-14460,0.6585563665855637,0.7663690476190477,0.7572115384615384,0.024038461538461564,0.9692307692307692,0.78125,0.5294117647058824,0.5717884130982368,0.14495914480555389,0.7464811432255292,0.4268292682926829,,,,,,,,
Compas Race,no_transform,Kamiran & Calders LR,6-14460,0.667477696674777,0.7633928571428571,0.7475961538461539,0.041466346153846145,0.9474485910129474,0.7890625,0.5525846702317291,0.5969773299748111,0.15185537875529892,0.7456262220850056,0.4451219512195122,,,,,,,,
Compas Race,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",6-14460,0.6382806163828062,0.6994047619047619,0.6899038461538461,0.024939903846153855,0.9651113913408995,0.71484375,0.5650623885918004,0.6146095717884131,0.16948762056890093,0.724235305877649,0.4451219512195122,,,,,,,,
Compas Race,no_transform,"Logistic Regression, C=1.0",7-16870,0.6772100567721006,0.7693452380952381,0.7451923076923077,0.06340144230769229,0.9215904868078781,0.80859375,0.5668449197860963,0.6095717884130982,0.14615715426675674,0.7602297923805685,0.4634146341463415,,,,,,,,
Compas Race,no_transform,LRCV,7-16870,0.6650446066504461,0.7544642857142857,0.7379807692307693,0.043269230769230727,0.9446153846153846,0.78125,0.5579322638146168,0.6045340050377834,0.15941205381827123,0.736305894308943,0.4451219512195122,,,,,,,,
Compas Race,no_transform,SVM,7-16870,0.6885644768856448,0.8005952380952381,0.7644230769230769,0.09495192307692313,0.8895104895104895,0.859375,0.5543672014260249,0.6020151133501259,0.16299072310622348,0.7292580875599551,0.43902439024390244,,,,,,,,
Compas Race,no_transform,Agarwal LR,7-16870,0.6772100567721006,0.7767857142857143,0.7572115384615384,0.051382211538461564,0.9364548494983277,0.80859375,0.5579322638146168,0.5969773299748111,0.13356269582846964,0.7762683955953483,0.4634146341463415,,,,,,,,
Compas Race,no_transform,Kamiran & Calders LR,7-16870,0.6763990267639902,0.7738095238095238,0.75,0.0625,0.9230769230769231,0.8125,0.5597147950089126,0.5994962216624685,0.13608158751612703,0.7730067636810822,0.4634146341463415,,,,,,,,
Compas Race,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",7-16870,0.6504460665044607,0.7202380952380952,0.7139423076923077,0.01652644230769229,0.9773755656108597,0.73046875,0.5668449197860963,0.5894206549118388,0.07722553296061929,0.8689806128830518,0.5121951219512195,,,,,,,,
Compas Race,no_transform,"Logistic Regression, C=1.0",8-19280,0.6699107866991079,0.7663690476190477,0.7235576923076923,0.11237980769230771,0.8655643421998562,0.8359375,0.5543672014260249,0.6095717884130982,0.18884008109602507,0.6902086272928845,0.42073170731707316,,,,,,,,
Compas Race,no_transform,LRCV,8-19280,0.6634225466342255,0.7559523809523809,0.7115384615384616,0.11658653846153844,0.8592162554426706,0.828125,0.5525846702317291,0.5994962216624685,0.16047183141856608,0.7323221971715516,0.43902439024390244,,,,,,,,
Compas Race,no_transform,SVM,8-19280,0.6763990267639902,0.7916666666666666,0.7524038461538461,0.10306490384615385,0.8795223041798385,0.85546875,0.5383244206773619,0.5894206549118388,0.17478650857037542,0.7034604961434229,0.4146341463414634,,,,,,,,
Compas Race,no_transform,Agarwal LR,8-19280,0.6545012165450121,0.7619047619047619,0.7307692307692307,0.08173076923076927,0.8994082840236686,0.8125,0.5258467023172906,0.5717884130982368,0.1571542667567734,0.7251531105619425,0.4146341463414634,,,,,,,,
